name,multicast,port,src,type,codec,note
安徽卫视高清频道,232.0.1.140,1140,192.168.50.25,高清视频,H.264,
CCTV1,239.100.1.1,5000,192.168.5.1,标清视频,MPEG-2,"MPTS共用地址,需program区分"
CCTV2,239.100.1.1,5000,192.168.5.1,标清视频,MPEG-2,"MPTS共用地址,需program区分"
CCTV17,239.100.1.1,5000,192.168.5.1,标清视频,MPEG-2,"MPTS共用地址,需program区分"
CCTV10,239.100.1.1,5000,192.168.5.1,标清视频,MPEG-2,"MPTS共用地址,需program区分"
CCTV11,239.100.1.1,5000,192.168.5.1,标清视频,MPEG-2,"MPTS共用地址,需program区分"
CCTV12,239.100.1.1,5000,192.168.5.1,标清视频,MPEG-2,"MPTS共用地址,需program区分"
CCTV15/音乐,239.100.1.1,5000,192.168.5.1,标清视频,MPEG-2,"MPTS共用地址,需program区分"
辽宁卫视,239.100.1.10,5000,192.168.5.35,标清视频,MPEG-2,
江苏卫视,239.100.1.11,5000,192.168.5.36,标清视频,MPEG-2,
湖北卫视,239.100.1.12,5000,192.168.5.36,标清视频,MPEG-2,
安多卫视,239.100.1.13,5000,192.168.5.37,标清视频,MPEG-2,"MPTS共用地址,需program区分"
青海卫视,239.100.1.13,5000,192.168.5.37,标清视频,MPEG-2,"MPTS共用地址,需program区分"
内蒙古卫视,239.100.1.14,5000,192.168.5.37,标清视频,MPEG-2,
浙江卫视,239.100.1.16,5000,192.168.5.65,标清视频,MPEG-2,
山东卫视,239.100.1.17,5000,192.168.5.66,标清视频,MPEG-2,
山西卫视,239.100.1.18,5000,192.168.5.66,标清视频,MPEG-2,
河南卫视,239.100.1.19,5000,192.168.5.67,标清视频,MPEG-2,
CCTV13/新闻,239.100.1.2,5000,192.168.5.1,标清视频,MPEG-2,"MPTS共用地址,需program区分"
CCTV14/少儿,239.100.1.2,5000,192.168.5.1,标清视频,MPEG-2,"MPTS共用地址,需program区分"
宁夏卫视,239.100.1.20,5000,192.168.5.67,标清视频,MPEG-2,
陕西卫视,239.100.1.21,5000,192.168.5.68,标清视频,MPEG-2,"MPTS共用地址,需program区分"
农林卫视,239.100.1.21,5000,192.168.5.68,标清视频,MPEG-2,"MPTS共用地址,需program区分"
江西卫视,239.100.1.22,5000,192.168.5.68,标清视频,MPEG-2,
四川康巴卫视,239.100.1.23,5000,192.168.5.69,标清视频,MPEG-2,"MPTS共用地址,需program区分"
四川卫视,239.100.1.23,5000,192.168.5.69,标清视频,MPEG-2,"MPTS共用地址,需program区分"
甘肃卫视,239.100.1.24,5000,192.168.5.69,标清视频,MPEG-2,
安徽卫视,239.100.1.25,5000,192.168.5.70,标清视频,MPEG-2,
天津卫视,239.100.1.26,5000,192.168.5.70,标清视频,MPEG-2,
北京卫视,239.100.1.27,5000,192.168.5.97,标清视频,MPEG-2,"MPTS共用地址,需program区分"
卡酷卡通,239.100.1.27,5000,192.168.5.97,标清视频,MPEG-2,"MPTS共用地址,需program区分"
河北卫视,239.100.1.28,5000,192.168.5.97,标清视频,MPEG-2,
黑龙江卫视,239.100.1.29,5000,192.168.5.98,标清视频,MPEG-2,
CCTV4A/中文国际频道（亚洲）,239.100.1.3,5000,192.168.5.2,标清视频,MPEG-2,"MPTS共用地址,需program区分"
CCTV NEWS英语新闻频道,239.100.1.3,5000,192.168.5.2,标清视频,MPEG-2,"MPTS共用地址,需program区分"
CCTV纪录片国际频道,239.100.1.3,5000,192.168.5.2,标清视频,MPEG-2,"MPTS共用地址,需program区分"
吉林卫视,239.100.1.30,5000,192.168.5.98,标清视频,MPEG-2,"MPTS共用地址,需program区分"
延边卫视,239.100.1.30,5000,192.168.5.98,标清视频,MPEG-2,"MPTS共用地址,需program区分"
云南卫视,239.100.1.31,5000,192.168.5.99,标清视频,MPEG-2,
旅游卫视,239.100.1.32,5000,192.168.5.99,标清视频,MPEG-2,
西藏卫视,239.100.1.33,5000,192.168.5.100,标清视频,MPEG-2,
兵团卫视,239.100.1.34,5000,192.168.5.100,标清视频,MPEG-2,
新疆卫视,239.100.1.35,5000,192.168.5.101,标清视频,MPEG-2,
广西卫视,239.100.1.36,5000,192.168.5.101,标清视频,MPEG-2,
凤凰卫视资讯台,239.100.1.37,5000,192.168.5.102,标清视频,MPEG-2,"MPTS共用地址,需program区分"
凤凰卫视中文台,239.100.1.37,5000,192.168.5.102,标清视频,MPEG-2,"MPTS共用地址,需program区分"
东方财经,239.100.1.39,5000,192.168.5.129,标清视频,停播,
法治天地,239.100.1.38,5000,192.168.5.130,标清视频,停播,
中央教育1,239.100.1.4,5000,192.168.5.2,标清视频,MPEG-2,
国学频道,239.100.1.40,5000,192.168.5.131,标清视频,MPEG-2,"MPTS共用地址,需program区分"
篮球频道,239.100.1.41,5000,192.168.5.131,标清视频,停播,
环球奇观,239.100.1.40,5000,192.168.5.131,标清视频,停播,"MPTS共用地址,需program区分"
女性时尚,239.100.1.42,5000,192.168.5.132,标清视频,停播,"MPTS共用地址,需program区分"
书画频道,239.100.1.40,5000,192.168.5.131,标清视频,停播,"MPTS共用地址,需program区分"
宝贝家,239.100.1.42,5000,192.168.5.132,标清视频,停播,"MPTS共用地址,需program区分"
,239.100.1.43,5000,192.168.5.133,标清视频,停播,
中央新影中学生,239.100.1.44,5000,192.168.5.134,标清视频,停播,"MPTS共用地址,需program区分"
中央新影发现之旅,239.100.1.44,5000,192.168.5.134,标清视频,停播,"MPTS共用地址,需program区分"
中央新影老故事,239.100.1.44,5000,192.168.5.134,标清视频,MPEG-2,"MPTS共用地址,需program区分"
汽摩,239.100.1.45,5000,192.168.5.161,标清视频,MPEG-2,
读书频道,239.100.1.46,5000,192.168.5.162,标清视频,MPEG-2,"MPTS共用地址,需program区分"
中华特产,239.100.1.46,5000,192.168.5.162,标清视频,MPEG-2,"MPTS共用地址,需program区分"
车迷频道,239.100.1.46,5000,192.168.5.162,标清视频,停播,"MPTS共用地址,需program区分"
优优宝贝,239.100.1.46,5000,192.168.5.162,标清视频,停播,"MPTS共用地址,需program区分"
环球旅游,239.100.1.46,5000,192.168.5.162,标清视频,停播,"MPTS共用地址,需program区分"
生态环境,239.100.1.46,5000,192.168.5.162,标清视频,停播,"MPTS共用地址,需program区分"
时代美食,239.100.1.46,5000,192.168.5.162,标清视频,停播,"MPTS共用地址,需program区分"
央广健康,239.100.1.46,5000,192.168.5.162,标清视频,停播,"MPTS共用地址,需program区分"
四海钓鱼,239.100.1.47,5000,192.168.5.163,标清视频,停播,"MPTS共用地址,需program区分"
家庭理财,239.100.1.47,5000,192.168.5.163,标清视频,停播,"MPTS共用地址,需program区分"
中国气象频道,239.200.1.102,5000,192.168.7.177,标清视频,停播,
收藏天下,239.100.1.48,5000,192.168.5.164,标清视频,MPEG-2,"MPTS共用地址,需program区分"
财富天下,239.100.1.48,5000,192.168.5.164,标清视频,停播,"MPTS共用地址,需program区分"
CETV-2,239.100.1.49,5000,192.168.5.165,标清视频,停播,"MPTS共用地址,需program区分"
CETV-4,239.100.1.49,5000,192.168.5.165,标清视频,停播,"MPTS共用地址,需program区分"
东南卫视,239.100.1.5,5000,192.168.5.33,标清视频,停播,
中华美食,239.100.1.50,5000,192.168.5.166,标清视频,停播,
幼儿教育,239.100.1.51,5000,192.168.5.193（209）,标清视频,停播,
湖南卫视高清频道,239.100.1.54,5000,192.168.5.195,高清视频,停播,"MPTS共用地址,需program区分"
湖南卫视高清频道,239.100.1.54,5000,192.168.5.195,高清视频,停播,"MPTS共用地址,需program区分"
CCTV3D高清测试,239.100.1.57,5000,192.168.5.197,高清视频,停播,
湖南卫视,239.100.1.6,5000,192.168.5.33,标清视频,MPEG-2,"MPTS共用地址,需program区分"
